,School ID,Student ID,Test,Answers,Score
0,100,1,Chemistry,"['D', 'B', 'D', 'D', 'E', 'D', 'E', 'A', 'A', 'A', 'B', 'D', 'E', 'B', 'D', 'A', 'B', 'A', 'E', 'E', 'C', 'D', 'B', 'B', 'C', 'D', 'C', 'A', 'E', 'D', 'D', 'D', 'B', 'D', 'A', 'A', 'E', 'E', 'A', 'A', 'B', 'B', 'C', 'E', 'D', 'B', 'D', 'E', 'A', 'C', 'E', 'E', 'D', 'C', 'C', 'D', 'D', 'E', 'B', 'D']",9
1,100,2,Chemistry,"['C', 'E', 'B', 'C', 'C', 'C', 'E', 'B', 'B', 'C', 'E', 'E', 'A', 'E', 'C', 'C', 'E', 'B', 'C', 'A', 'A', 'A', 'A', 'B', 'B', 'E', 'A', 'E', 'D', 'B', 'C', 'E', 'E', 'D', 'E', 'B', 'E', 'D', 'B', 'E', 'E', 'B', 'E', 'E', 'B', 'D', 'B', 'C', 'E', 'C', 'D', 'D', 'A', 'A', 'C', 'B', 'E', 'E', 'E', 'A']",15
2,100,3,Chemistry,"['D', 'E', 'B', 'B', 'A', 'A', 'A', 'D', 'B', 'B', 'B', 'A', 'A', 'A', 'D', 'A', 'C', 'D', 'D', 'E', 'E', 'E', 'D', 'B', 'C', 'C', 'D', 'B', 'B', 'A', 'C', 'A', 'B', 'E', 'C', 'A', 'D', 'B', 'A', 'E', 'A', 'E', 'E', 'C', 'D', 'B', 'C', 'D', 'E', 'A', 'A', 'B', 'B', 'E', 'D', 'E', 'B', 'D', 'D', 'C']",15
3,100,4,Chemistry,"['C', 'E', 'A', 'D', 'E', 'B', 'B', 'B', 'C', 'A', 'C', 'A', 'B', 'A', 'B', 'D', 'C', 'A', 'E', 'C', 'A', 'B', 'C', 'A', 'E', 'E', 'C', 'A', 'B', 'E', 'B', 'B', 'B', 'A', 'B', 'D', 'A', 'D', 'E', 'D', 'E', 'D', 'A', 'C', 'A', 'D', 'E', 'B', 'A', 'D', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'B', 'A', 'D']",13
4,100,5,Chemistry,"['C', 'B', 'B', 'D', 'D', 'C', 'A', 'A', 'D', 'C', 'D', 'D', 'E', 'D', 'C', 'C', 'D', 'D', 'A', 'D', 'D', 'D', 'D', 'C', 'E', 'D', 'C', 'D', 'C', 'D', 'B', 'B', 'C', 'E', 'E', 'A', 'A', 'A', 'E', 'A', 'E', 'C', 'A', 'C', 'D', 'E', 'B', 'E', 'D', 'C', 'B', 'E', 'C', 'A', 'A', 'D', 'A', 'E', 'C', 'E']",11
5,100,6,Chemistry,"['A', 'A', 'D', 'C', 'E', 'E', 'C', 'D', 'D', 'B', 'B', 'A', 'C', 'C', 'A', 'D', 'D', 'D', 'E', 'E', 'B', 'B', 'A', 'A', 'A', 'B', 'D', 'C', 'A', 'C', 'E', 'B', 'C', 'A', 'A', 'D', 'A', 'E', 'C', 'C', 'A', 'A', 'D', 'A', 'B', 'C', 'B', 'E', 'B', 'B', 'B', 'B', 'D', 'B', 'C', 'C', 'B', 'D', 'E', 'A']",13
6,100,7,Chemistry,"['B', 'C', 'D', 'E', 'A', 'E', 'B', 'C', 'D', 'B', 'E', 'C', 'D', 'B', 'B', 'E', 'C', 'E', 'D', 'A', 'B', 'B', 'B', 'D', 'D', 'E', 'E', 'B', 'D', 'C', 'A', 'A', 'D', 'B', 'B', 'D', 'E', 'B', 'B', 'A', 'D', 'D', 'D', 'B', 'D', 'E', 'E', 'C', 'B', 'B', 'C', 'A', 'C', 'D', 'B', 'A', 'D', 'B', 'D', 'D']",12
7,100,8,Chemistry,"['A', 'C', 'C', 'C', 'A', 'A', 'A', 'A', 'A', 'D', 'A', 'D', 'A', 'B', 'A', 'A', 'C', 'B', 'E', 'A', 'D', 'C', 'C', 'B', 'B', 'C', 'A', 'A', 'A', 'A', 'A', 'A', 'E', 'B', 'B', 'E', 'E', 'D', 'B', 'A', 'A', 'A', 'E', 'D', 'B', 'D', 'A', 'B', 'C', 'B', 'B', 'E', 'C', 'D', 'E', 'B', 'E', 'E', 'E', 'D']",16
8,100,9,Chemistry,"['E', 'D', 'D', 'A', 'C', 'B', 'A', 'A', 'C', 'D', 'B', 'A', 'B', 'C', 'A', 'A', 'E', 'E', 'E', 'A', 'C', 'B', 'C', 'D', 'C', 'C', 'E', 'C', 'A', 'A', 'D', 'D', 'A', 'C', 'C', 'A', 'D', 'C', 'D', 'D', 'A', 'A', 'B', 'C', 'C', 'B', 'A', 'C', 'D', 'E', 'E', 'B', 'E', 'E', 'D', 'C', 'C', 'B', 'B', 'A']",15
9,100,10,Chemistry,"['A', 'C', 'B', 'C', 'B', 'A', 'A', 'D', 'C', 'E', 'E', 'A', 'C', 'E', 'B', 'E', 'C', 'D', 'A', 'B', 'E', 'B', 'C', 'C', 'B', 'A', 'D', 'C', 'C', 'B', 'D', 'A', 'D', 'A', 'E', 'D', 'B', 'C', 'E', 'C', 'B', 'D', 'E', 'E', 'E', 'C', 'E', 'A', 'D', 'A', 'B', 'E', 'A', 'B', 'C', 'B', 'B', 'C', 'C', 'C']",16
